id,Facility_Name,Business_Type,Registration_Number,License_Status,Rel,First Name,Last Name,email,,branch_id,business_id,user_id,Password
5899,SAMZAN PHARMA,RETAIL,PPB/S/9003,Status: Active,MjcwMTA=,Winny,Nthenya,winny.nthenya23@gmail.com,,2316,2500,3568,"$argon2i$v=19$m=16,t=2,p=1$bGFiVFNkNkl6YldhMEZ2Mg$KoO4yuR++bGwD7EviELL+Q"
4899,NYAKOE CHEMIST CO - HOSPITAL ROAD LTD,RETAIL,PPB/N/1560,Status: Active,Mjk2Nzc=,Samwel,Okello,samwel.okello34@gmail.com,,2317,2501,3569,"$argon2i$v=19$m=16,t=2,p=1$bGFiVFNkNkl6YldhMEZ2Mg$KoO4yuR++bGwD7EviELL+Q"
6279,STAY HEALTHY PHARMACY,RETAIL,PPB/S/9237,Status: Active,MzA0MDM=,Hellen,Kirimi,hellen.kirimi97@gmail.com,,2318,2502,3570,"$argon2i$v=19$m=16,t=2,p=1$bGFiVFNkNkl6YldhMEZ2Mg$KoO4yuR++bGwD7EviELL+Q"
6477,TETHELL PHARMACY MATHARE,RETAIL,PPB/T/5791,Status: Active,MjkyODY=,Zacharia,Macharia,zacharia.macharia95@gmail.com,,2319,2503,3571,"$argon2i$v=19$m=16,t=2,p=1$bGFiVFNkNkl6YldhMEZ2Mg$KoO4yuR++bGwD7EviELL+Q"
6309,SUKEYNA PHARMACEUTICAL LTD,RETAIL,PPB/S/9150,Status: Active,Mjg5NzU=,Mohamedamin,Ndwiga,mohamedamin.ndwiga89@gmail.com,,2320,2504,3572,"$argon2i$v=19$m=16,t=2,p=1$bGFiVFNkNkl6YldhMEZ2Mg$KoO4yuR++bGwD7EviELL+Q"
6631,TOP CARE CHEMIST,RETAIL,PPB/T/5703,Status: REVOKED,MjcyNjI=,Philemon,Nkatha,philemon.nkatha26@gmail.com,,2321,2505,3573,"$argon2i$v=19$m=16,t=2,p=1$bGFiVFNkNkl6YldhMEZ2Mg$KoO4yuR++bGwD7EviELL+Q"
3822,MAMBIA PHARMACY,RETAIL,PPB/M/9675,Status: Active,Mjg5NTE=,Kipkemoi,Ndambuki,kipkemoi.ndambuki76@gmail.com,,2322,2506,3574,"$argon2i$v=19$m=16,t=2,p=1$bGFiVFNkNkl6YldhMEZ2Mg$KoO4yuR++bGwD7EviELL+Q"
3660,LUCKYBAR PHARMACY,RETAIL,PPB/L/9770,Status: Active,MjcxNjI=,Stacy,Aoko,stacy.aoko3@gmail.com,,2323,2507,3575,"$argon2i$v=19$m=16,t=2,p=1$bGFiVFNkNkl6YldhMEZ2Mg$KoO4yuR++bGwD7EviELL+Q"
7059,WESTWELL PHARMACY,RETAIL,PPB/W/7430,Status: Active,MjgzMTg=,Ali,Jeptoo,ali.jeptoo42@gmail.com,,2324,2508,3576,"$argon2i$v=19$m=16,t=2,p=1$bGFiVFNkNkl6YldhMEZ2Mg$KoO4yuR++bGwD7EviELL+Q"
5912,SANKAA PHARMACY,RETAIL,PPB/S/9114,Status: Active,MjgzNzM=,Stanley,Imali,stanley.imali33@gmail.com,,2325,2509,3577,"$argon2i$v=19$m=16,t=2,p=1$bGFiVFNkNkl6YldhMEZ2Mg$KoO4yuR++bGwD7EviELL+Q"
6739,TSALACH PHARMACY,RETAIL,PPB/T/5739,Status: Active,Mjc5NzU=,Mutinda,Kiplagat,mutinda.kiplagat65@gmail.com,,2326,2510,3578,"$argon2i$v=19$m=16,t=2,p=1$bGFiVFNkNkl6YldhMEZ2Mg$KoO4yuR++bGwD7EviELL+Q"
3730,MAESIO PHARMACEUTICAL OUTER-RING ROAD,RETAIL,PPB/M/9689,Status: Active,MjkwOTU=,Mwaura,Mutahi,mwaura.mutahi23@gmail.com,,2327,2511,3579,"$argon2i$v=19$m=16,t=2,p=1$bGFiVFNkNkl6YldhMEZ2Mg$KoO4yuR++bGwD7EviELL+Q"
5823,SAITO CHEMIST -,RETAIL,PPB/S/8997,Status: Active,MjY5MzY=,Lucas,Koech,lucas.koech32@gmail.com,,2328,2512,3580,"$argon2i$v=19$m=16,t=2,p=1$bGFiVFNkNkl6YldhMEZ2Mg$KoO4yuR++bGwD7EviELL+Q"
6950,WALEGI CHEMIST,RETAIL,PPB/W/7440,Status: Active,Mjg5MjA=,Oloo,Kipleting,oloo.kipleting64@gmail.com,,2329,2513,3581,"$argon2i$v=19$m=16,t=2,p=1$bGFiVFNkNkl6YldhMEZ2Mg$KoO4yuR++bGwD7EviELL+Q"
6533,THE NAQSH MEDICAL AND SURGICAL SUPPLIES LIMITED,RETAIL,PPB/T/5724,Status: Active,Mjc3MzM=,Edgar,Wangila,edgar.wangila3@gmail.com,,2330,2514,3582,"$argon2i$v=19$m=16,t=2,p=1$bGFiVFNkNkl6YldhMEZ2Mg$KoO4yuR++bGwD7EviELL+Q"
7039,WERII CHEMIST,RETAIL,PPB/W/7436,Status: Active,Mjg2NjA=,Wycliff,Ayieko,wycliff.ayieko39@gmail.com,,2331,2515,3583,"$argon2i$v=19$m=16,t=2,p=1$bGFiVFNkNkl6YldhMEZ2Mg$KoO4yuR++bGwD7EviELL+Q"
5678,ROLLINHAM,RETAIL,PPB/R/1367,Status: Active,Mjk4MjE=,Njoki,Mukiri,njoki.mukiri73@gmail.com,,2332,2516,3584,"$argon2i$v=19$m=16,t=2,p=1$bGFiVFNkNkl6YldhMEZ2Mg$KoO4yuR++bGwD7EviELL+Q"
6882,VICRAHAM PHARMACY,RETAIL,PPB/V/402,Status: Active,Mjg2NTU=,Lameck,Muthami,lameck.muthami49@gmail.com,,2333,2517,3585,"$argon2i$v=19$m=16,t=2,p=1$bGFiVFNkNkl6YldhMEZ2Mg$KoO4yuR++bGwD7EviELL+Q"
5785,SAAYNEX PHARMACY LIMITED,RETAIL,PPB/S/9070,Status: Active,Mjc4NDE=,Priscillah,Nafula,priscillah.nafula98@gmail.com,,2334,2518,3586,"$argon2i$v=19$m=16,t=2,p=1$bGFiVFNkNkl6YldhMEZ2Mg$KoO4yuR++bGwD7EviELL+Q"
3609,LIVEN VENTURES LIMITED,RETAIL,PPB/L/9874,Status: Active,MzAyOTk=,Daud,Osman,daud.osman18@gmail.com,,2335,2519,3587,"$argon2i$v=19$m=16,t=2,p=1$bGFiVFNkNkl6YldhMEZ2Mg$KoO4yuR++bGwD7EviELL+Q"
6529,THE MINUT PHARMACY,RETAIL,PPB/T/5834,Status: Active,MzA0MDU=,Jepchirchir,Muigai,jepchirchir.muigai76@gmail.com,,2336,2520,3588,"$argon2i$v=19$m=16,t=2,p=1$bGFiVFNkNkl6YldhMEZ2Mg$KoO4yuR++bGwD7EviELL+Q"
3958,MAXLIFE PHARMACY LIMITED,RETAIL,PPB/M/9652,Status: Active,Mjg3NDI=,Rodgers,Waweru,rodgers.waweru24@gmail.com,,2337,2521,3589,"$argon2i$v=19$m=16,t=2,p=1$bGFiVFNkNkl6YldhMEZ2Mg$KoO4yuR++bGwD7EviELL+Q"
5682,ROMA CHEMIST,RETAIL,PPB/R/1334,Status: Active,Mjg5NjE=,Jelagat,Mwita,jelagat.mwita1@gmail.com,,2338,2522,3590,"$argon2i$v=19$m=16,t=2,p=1$bGFiVFNkNkl6YldhMEZ2Mg$KoO4yuR++bGwD7EviELL+Q"
5780,RYAMED PHARMACY,RETAIL,PPB/R/1326,Status: Active,Mjg3OTE=,Kiprono,Alio,kiprono.alio44@gmail.com,,2339,2523,3591,"$argon2i$v=19$m=16,t=2,p=1$bGFiVFNkNkl6YldhMEZ2Mg$KoO4yuR++bGwD7EviELL+Q"
4668,NEEMA NGURUMBANI PHARMACEUTICALS,RETAIL,PPB/N/1548,Status: Active,MjkzMjk=,Muriithi,Sang,muriithi.sang44@gmail.com,,2340,2524,3592,"$argon2i$v=19$m=16,t=2,p=1$bGFiVFNkNkl6YldhMEZ2Mg$KoO4yuR++bGwD7EviELL+Q"
5307,PILL POINT PHARMACY,RETAIL,PPB/P/2228,Status: Active,MjY4NDY=,Moraa,Muya,moraa.muya32@gmail.com,,2341,2525,3593,"$argon2i$v=19$m=16,t=2,p=1$bGFiVFNkNkl6YldhMEZ2Mg$KoO4yuR++bGwD7EviELL+Q"
6172,SOACHEM PHARMACY,RETAIL,PPB/S/9148,Status: Active,Mjg5MzY=,Cleophas,Nzioka,cleophas.nzioka70@gmail.com,,2342,2526,3594,"$argon2i$v=19$m=16,t=2,p=1$bGFiVFNkNkl6YldhMEZ2Mg$KoO4yuR++bGwD7EviELL+Q"
4678,NELAPHARM LTD DOWNTOWN,RETAIL,PPB/N/1535,Status: Active,MjkxNTg=,Habiba,Kiprop,habiba.kiprop2@gmail.com,,2343,2527,3595,"$argon2i$v=19$m=16,t=2,p=1$bGFiVFNkNkl6YldhMEZ2Mg$KoO4yuR++bGwD7EviELL+Q"
6858,VANGA WARD CHEMIST,RETAIL,PPB/V/410,Status: Active,MjkyODQ=,Dorcas,Ruto,dorcas.ruto81@gmail.com,,2344,2528,3596,"$argon2i$v=19$m=16,t=2,p=1$bGFiVFNkNkl6YldhMEZ2Mg$KoO4yuR++bGwD7EviELL+Q"
5283,PHELMA PHARMACY,RETAIL,PPB/P/2203,Status: Active,MjYyNzg=,Jamila,Kawira,jamila.kawira94@gmail.com,,2345,2529,3597,"$argon2i$v=19$m=16,t=2,p=1$bGFiVFNkNkl6YldhMEZ2Mg$KoO4yuR++bGwD7EviELL+Q"
5393,PRUDAN PHARMACY- KAHAWA WEST,RETAIL,PPB/P/2235,Status: Active,MjcwNjA=,Josephine,Mwathi,josephine.mwathi80@gmail.com,,2346,2530,3598,"$argon2i$v=19$m=16,t=2,p=1$bGFiVFNkNkl6YldhMEZ2Mg$KoO4yuR++bGwD7EviELL+Q"
6455,TECPHARM PHARMACY,RETAIL,PPB/T/5727,Status: Active,Mjc3NTY=,Wamalwa,Muraguri,wamalwa.muraguri80@gmail.com,,2347,2531,3599,"$argon2i$v=19$m=16,t=2,p=1$bGFiVFNkNkl6YldhMEZ2Mg$KoO4yuR++bGwD7EviELL+Q"
